nohup: ignoring input
System check identified some issues:

WARNINGS:
?: (debug_toolbar.W007) JavaScript files are resolving to the wrong content type.
	HINT: The Django Debug Toolbar may not load properly while mimetypes are misconfigured. See the Django documentation for an explanation of why this occurs.
https://docs.djangoproject.com/en/stable/ref/contrib/staticfiles/#static-file-development-view

This typically occurs on Windows machines. The suggested solution is to modify HKEY_CLASSES_ROOT in the registry to specify the content type for JavaScript files.

[HKEY_CLASSES_ROOT\.js]
"Content Type"="application/javascript"
[2026-05-12 17:52:47,010] DEBUG apps.performances.kopis.client [KOPIS] venue detail: mt10id=FC004326
[2026-05-12 17:52:47,389] DEBUG apps.performances.kopis.sync [Sync] 공연시설 갱신: AK플라자 [원주] (FC004326)
[2026-05-12 17:52:47,389] DEBUG apps.performances.kopis.client [KOPIS] venue detail: mt10id=FC004327
[2026-05-12 17:52:47,799] DEBUG apps.performances.kopis.sync [Sync] 공연시설 갱신: AK플라자 [평택] (FC004327)
[2026-05-12 17:52:47,799] DEBUG apps.performances.kopis.client [KOPIS] venue detail: mt10id=FC002065
[2026-05-12 17:52:48,129] DEBUG apps.performances.kopis.sync [Sync] 공연시설 갱신: ALVER(알베르) (FC002065)
[2026-05-12 17:52:48,129] DEBUG apps.performances.kopis.client [KOPIS] venue detail: mt10id=FC001244
[2026-05-12 17:52:48,479] DEBUG apps.performances.kopis.sync [Sync] 공연시설 갱신: AN아트홀 [서면] (FC001244)
[2026-05-12 17:52:48,480] DEBUG apps.performances.kopis.client [KOPIS] venue detail: mt10id=FC004640
[2026-05-12 17:52:48,835] DEBUG apps.performances.kopis.sync [Sync] 공연시설 갱신: ASB (FC004640)
[2026-05-12 17:52:48,835] DEBUG apps.performances.kopis.client [KOPIS] venue detail: mt10id=FC003959
[2026-05-12 17:52:49,196] DEBUG apps.performances.kopis.sync [Sync] 공연시설 갱신: ASSA 아트홀 (FC003959)
[2026-05-12 17:52:49,196] DEBUG apps.performances.kopis.client [KOPIS] venue detail: mt10id=FC004557
[2026-05-12 17:52:49,561] DEBUG apps.performances.kopis.sync [Sync] 공연시설 갱신: Abnormal필운 (FC004557)
[2026-05-12 17:52:49,562] DEBUG apps.performances.kopis.client [KOPIS] venue detail: mt10id=FC003704
